K03;XI - MM 1
K04;XI - MM 2
K05;XII - MM 1
K06;XII - MM 2
K07;X - LIS 1
K08;X - LIS 2
K09;XI - LIS 1
K10;XI - LIS 2
K11;XII - LIS 1
K12;XII - LIS 2
K13;X - AV 1
K14;X - AV 2
K15;XI - AV 1
K16;XI - AV 2
K17;XII - AV 2
K18;XII - AV 2
K19;X - LAS 1
K20;X - LAS 2
K21;XI - LAS 1
K22;XI - LAS 2
K23;XII - LAS 1
K24;XII - LAS 2
K25;X - BKP 1
K26;X - BKP 2
K27;XI - BKP 1
K28;XI - BKP 2
K29;XII - BKP 1
K30;XII - BKP 2
K31;X - TBSM 1
K32;X - TBSM 2
K33;X - TBSM 3
K34;XI - TBSM 1
K35;XI - TBSM 2
K36;XI - TBSM 3
K37;XII - TBSM 1
K38;XII - TBSM 2
K39;XII - TBSM 3
K40;X - TKR 1
K41;X - TKR 2
K42;X - TKR 3
K43;X - TKR 4
K44;XI - TKR 1
K45;XI - TKR 2
K46;XI - TKR 3
K47;XI - TKR 4
K48;XII - TKR 1
K49;XII - TKR 2
K50;XII - TKR 3
K51;XII - TKR 4
K52;X - DPIB 1
K53;X - DPIB 2
K54;XI - DPIB 1
K55;XI - DPIB 2
K56;XII - DPIB 1
K57;XII - DPIB 2
