id_user;fullname;id_kelas;jk;pemilih
1;a;K02;L;Y
2;b;K02;L;Y
3;c;K02;L;Y
4;d;K01;L;Y
5;e;K02;P;Y
6;f;K02;P;Y
7;g;K02;P;Y
8;h;K01;P;Y
9;i;K01;P;Y
10;j;K01;P;Y
11;k;K01;P;Y
12;l;K01;P;Y
13;m;K01;P;Y
14;n;K01;P;Y
15;o;K01;P;Y
16;p;K01;P;Y
17;q;K01;P;Y
18;r;K01;P;Y
19;s;K01;P;Y
20;t;K01;P;Y
21;u;K01;P;Y
22;v;K01;P;Y
23;w;K01;P;Y
24;x;K01;P;Y
25;y;K01;P;Y
26;z;K01;P;Y
27;sfgsg;K01;P;Y
28;fgdfgdfg;K01;P;Y
29;dfgdfg;K01;P;Y
30;dfgdfg;K01;P;Y
31;dfgadf;K01;P;Y
32;qjwyj;K01;P;Y
33;uiwetiu;K01;P;Y
34;ssdf;K01;P;Y
35;fsdf;K01;P;Y
36;ass;K01;P;Y
37;sf;K01;P;Y
38;qwe;K01;P;Y
39;eq;K01;P;Y
40;sdf;K01;P;Y
